"city","sales","volume","avgprice","listings","onmarket","month","year","date"
"Abilene",147,13350000,90800,730,5.6,9,2003,2003.66666666667
"Abilene",142,11215000,79000,721,5.5,10,2003,2003.75
"Abilene",129,10110000,78400,675,5.1,11,2003,2003.83333333333
"Abilene",153,12655000,82700,640,4.7,12,2003,2003.91666666667
"Abilene",97,6945000,71600,657,4.7,1,2004,2004
"Abilene",119,9810000,82400,682,4.9,2,2004,2004.08333333333
"Abilene",169,13635000,80700,668,4.7,3,2004,2004.16666666667
"Abilene",171,14475000,84600,696,4.7,4,2004,2004.25
"Abilene",159,13085000,82300,752,5.1,5,2004,2004.33333333333
"Abilene",179,16255000,90800,720,4.7,6,2004,2004.41666666667
"Abilene",176,16685000,94800,701,4.6,7,2004,2004.5
"Abilene",190,19190000,101000,686,4.5,8,2004,2004.58333333333
"Abilene",142,12325000,86800,677,4.4,9,2004,2004.66666666667
"Abilene",144,12620000,87600,663,4.4,10,2004,2004.75
"Abilene",138,12375000,89700,630,4.1,11,2004,2004.83333333333
"Abilene",146,12270000,84000,600,3.9,12,2004,2004.91666666667
"Abilene",119,10255000,86200,570,3.7,1,2005,2005
"Abilene",130,11770000,90500,581,3.7,2,2005,2005.08333333333
"Abilene",170,14470000,85100,661,4.3,3,2005,2005.16666666667
"Abilene",171,16355000,95600,650,4.2,4,2005,2005.25
"Abilene",176,18080000,102700,660,4.2,5,2005,2005.33333333333
"Abilene",230,24050000,104600,664,4.1,6,2005,2005.41666666667
"Abilene",177,18495000,104500,657,4.1,7,2005,2005.5
"Abilene",216,24065000,111400,638,3.9,8,2005,2005.58333333333
"Abilene",165,17145000,103900,644,3.9,9,2005,2005.66666666667
"Abilene",161,16365000,101600,601,3.6,10,2005,2005.75
"Abilene",137,13390000,97700,496,3,11,2005,2005.83333333333
"Abilene",125,14415000,115300,522,3.2,12,2005,2005.91666666667
"Abilene",107,11890000,111100,559,3.4,1,2006,2006
"Abilene",152,16875000,111000,561,3.4,2,2006,2006.08333333333
"Abilene",155,18030000,116300,NA,NA,3,2006,2006.16666666667
"Abilene",172,17955000,104400,683,4.2,4,2006,2006.25
"Abilene",179,20400000,114000,736,4.5,5,2006,2006.33333333333
"Abilene",225,26620000,118300,786,4.8,6,2006,2006.41666666667
"Abilene",169,19160000,113400,804,4.9,7,2006,2006.5
"Abilene",220,25735000,117000,812,5,8,2006,2006.58333333333
"Abilene",159,19850000,124800,817,5,9,2006,2006.66666666667
"Abilene",156,17100000,109600,797,4.9,10,2006,2006.75
"Abilene",146,15930000,109100,792,4.8,11,2006,2006.83333333333
"Abilene",157,17985000,114600,724,4.4,12,2006,2006.91666666667
"Abilene",132,13335000,101000,746,4.4,1,2007,2007
"Abilene",140,16105000,115000,774,4.6,2,2007,2007.08333333333
"Abilene",212,20410000,96300,816,4.7,3,2007,2007.16666666667
"Abilene",192,20090000,104600,807,4.6,4,2007,2007.25
"Abilene",213,24410000,114600,849,4.8,5,2007,2007.33333333333
"Abilene",212,27605000,130200,872,5,6,2007,2007.41666666667
"Abilene",239,29315000,122700,940,5.2,7,2007,2007.5
"Abilene",196,25015000,127600,948,5.3,8,2007,2007.58333333333
"Abilene",127,16588549,130600,932,5.3,9,2007,2007.66666666667
"Abilene",134,16036403,119700,932,5.3,10,2007,2007.75
"Abilene",107,12017671,112300,892,5.2,11,2007,2007.83333333333
"Abilene",99,11134962,112500,856,5.1,12,2007,2007.91666666667
"Abilene",84,9089942,108200,859,5.3,1,2008,2008
"Abilene",127,15970270,125800,899,5.6,2,2008,2008.08333333333
"Abilene",147,15496685,105400,923,5.9,3,2008,2008.16666666667
"Abilene",161,18288157,113600,941,6.1,4,2008,2008.25
"Abilene",182,21314933,117100,951,6.3,5,2008,2008.33333333333
"Abilene",180,21146068,117500,1000,6.7,6,2008,2008.41666666667
"Abilene",171,19502253,114000,1013,7.1,7,2008,2008.5
"Abilene",131,16067354,122700,966,7,8,2008,2008.58333333333
"Abilene",141,15643014,110900,992,7.2,9,2008,2008.66666666667
"Abilene",115,15010657,130500,860,6.3,10,2008,2008.75
"Abilene",94,10792418,114800,863,6.3,11,2008,2008.83333333333
"Abilene",117,14151971,121000,821,6,12,2008,2008.91666666667
"Abilene",70,8399045,120000,861,6.3,1,2009,2009
"Abilene",106,10936855,103200,869,6.5,2,2009,2009.08333333333
"Abilene",129,14906739,115600,891,6.7,3,2009,2009.16666666667
"Abilene",164,20044777,122200,890,6.7,4,2009,2009.25
"Amarillo",102,8860000,86900,972,5.3,1,2000,2000
"Amarillo",147,13875000,94400,937,5.1,2,2000,2000.08333333333
"Amarillo",201,17930000,89200,995,5.5,3,2000,2000.16666666667
"Amarillo",176,16955000,96300,985,5.5,4,2000,2000.25
"Amarillo",198,19420000,98100,1020,5.6,5,2000,2000.33333333333
"Amarillo",206,20035000,97300,1055,5.9,6,2000,2000.41666666667
"Amarillo",190,20430000,107500,1193,6.8,7,2000,2000.5
"Amarillo",242,25995000,107400,1208,6.6,8,2000,2000.58333333333
"Amarillo",158,1.6e+07,101300,1248,6.9,9,2000,2000.66666666667
"Amarillo",165,16810000,101900,1191,6.7,10,2000,2000.75
"Amarillo",133,13955000,104900,1174,6.7,11,2000,2000.83333333333
"Amarillo",158,15800000,100000,1092,6.3,12,2000,2000.91666666667
"Amarillo",134,14445000,107800,1087,6.2,1,2001,2001
"Amarillo",157,15345000,97700,1037,5.9,2,2001,2001.08333333333
"Amarillo",187,19260000,103000,1030,5.9,3,2001,2001.16666666667
"Amarillo",199,21740000,109200,1055,6,4,2001,2001.25
"Amarillo",225,22225000,98800,1064,5.9,5,2001,2001.33333333333
"Amarillo",242,25135000,103900,1092,6,6,2001,2001.41666666667
"Amarillo",210,2.5e+07,119000,1141,6.2,7,2001,2001.5
"Amarillo",259,29150000,112500,1144,6.2,8,2001,2001.58333333333
"Amarillo",183,19035000,104000,1137,6.1,9,2001,2001.66666666667
"Amarillo",211,22530000,106800,1137,5.9,10,2001,2001.75
"Amarillo",170,18875000,111000,1137,5.8,11,2001,2001.83333333333
"Amarillo",166,18270000,110100,1072,5.5,12,2001,2001.91666666667
"Amarillo",146,14955000,102400,1071,5.5,1,2002,2002
"Amarillo",182,18440000,101300,1090,5.5,2,2002,2002.08333333333
"Amarillo",200,20235000,101200,1046,5.2,3,2002,2002.16666666667
"Amarillo",209,21345000,102100,1106,5.5,4,2002,2002.25
"Amarillo",198,21420000,108200,1140,5.8,5,2002,2002.33333333333
"Amarillo",220,25025000,113800,1191,6.1,6,2002,2002.41666666667
"Amarillo",213,23185000,108800,1266,6.4,7,2002,2002.5
"Amarillo",193,21345000,110600,1256,6.6,8,2002,2002.58333333333
"Amarillo",186,22045000,118500,1214,6.4,9,2002,2002.66666666667
"Amarillo",176,21245000,120700,1242,6.6,10,2002,2002.75
"Amarillo",173,19605000,113300,1249,6.6,11,2002,2002.83333333333
"Amarillo",153,14150000,92500,1205,6.4,12,2002,2002.91666666667
"Amarillo",165,14985000,90800,1205,6.4,1,2003,2003
"Amarillo",176,17255000,98000,1173,6.2,2,2003,2003.08333333333
"Amarillo",203,22330000,110000,1293,6.9,3,2003,2003.16666666667
"Amarillo",220,23455000,106600,1279,6.7,4,2003,2003.25
"Amarillo",264,28375000,107500,1360,7,5,2003,2003.33333333333
"Amarillo",260,30990000,119200,1382,7,6,2003,2003.41666666667
"Amarillo",296,32085000,108400,1412,6.9,7,2003,2003.5
"Amarillo",288,35820000,124400,1422,6.7,8,2003,2003.58333333333
"Amarillo",287,30035000,104700,1406,6.3,9,2003,2003.66666666667
"Amarillo",238,26325000,110600,1387,6.1,10,2003,2003.75
"Amarillo",212,23395000,110400,1349,5.9,11,2003,2003.83333333333
"Amarillo",219,22975000,104900,1242,5.3,12,2003,2003.91666666667
"Amarillo",181,20110000,111100,1215,5.1,1,2004,2004
"Amarillo",227,23885000,105200,1219,5.1,2,2004,2004.08333333333
"Amarillo",248,27265000,109900,1186,4.8,3,2004,2004.16666666667
"Amarillo",274,30270000,110500,1196,4.8,4,2004,2004.25
"Amarillo",289,32160000,111300,1199,4.8,5,2004,2004.33333333333
"Amarillo",322,38385000,119200,1248,4.9,6,2004,2004.41666666667
"Amarillo",320,39300000,122800,1250,4.8,7,2004,2004.5
"Amarillo",263,30490000,115900,1246,4.9,8,2004,2004.58333333333
"Amarillo",266,30635000,115200,1241,4.9,9,2004,2004.66666666667
"Amarillo",210,24165000,115100,1196,4.7,10,2004,2004.75
"Amarillo",228,24865000,109100,1154,4.5,11,2004,2004.83333333333
"Amarillo",229,29985000,130900,1090,4.3,12,2004,2004.91666666667
"Amarillo",218,24070000,110400,1072,4.2,1,2005,2005
"Amarillo",238,29525000,124100,1079,4.2,2,2005,2005.08333333333
"Amarillo",268,33065000,123400,1023,3.9,3,2005,2005.16666666667
"Amarillo",284,33030000,116300,1082,4.1,4,2005,2005.25
"Amarillo",312,40885000,131000,1132,4.3,5,2005,2005.33333333333
"Amarillo",340,46910000,138000,1156,4.4,6,2005,2005.41666666667
"Amarillo",314,37715000,120100,1221,4.6,7,2005,2005.5
"Amarillo",317,42500000,134100,1224,4.6,8,2005,2005.58333333333
"Amarillo",309,41940000,135700,1201,4.4,9,2005,2005.66666666667
"Amarillo",67,7225000,107800,NA,NA,10,2005,2005.75
"Amarillo",235,30815000,131100,1240,4.8,11,2005,2005.83333333333
"Amarillo",211,25900000,122700,1121,4.3,12,2005,2005.91666666667
"Amarillo",156,20680000,132600,1181,4.6,1,2006,2006
"Amarillo",242,32575000,134600,1183,4.6,2,2006,2006.08333333333
"Amarillo",321,4.1e+07,127700,1238,4.8,3,2006,2006.16666666667
"Amarillo",251,31135000,124000,1248,4.9,4,2006,2006.25
"Amarillo",348,4.9e+07,140800,1286,5,5,2006,2006.33333333333
"Amarillo",345,46755000,135500,NA,NA,6,2006,2006.41666666667
"Amarillo",324,46595000,143800,1439,5.5,7,2006,2006.5
"Amarillo",362,50930000,140700,1511,5.7,8,2006,2006.58333333333
"Amarillo",288,37365000,129700,NA,NA,9,2006,2006.66666666667
"Amarillo",301,37585000,124900,1435,5.1,10,2006,2006.75
"Amarillo",235,31405000,133600,1393,4.9,11,2006,2006.83333333333
"Amarillo",272,32930000,121100,1252,4.4,12,2006,2006.91666666667
"Amarillo",179,22380000,125000,1304,4.5,1,2007,2007
"Amarillo",265,31655000,119500,1273,4.4,2,2007,2007.08333333333
"Amarillo",277,37430000,135100,1311,4.6,3,2007,2007.16666666667
"Amarillo",285,37810000,132700,1313,4.5,4,2007,2007.25
"Amarillo",351,46910000,133600,1408,4.8,5,2007,2007.33333333333
"Amarillo",348,50975000,146500,1458,5,6,2007,2007.41666666667
"Amarillo",326,4.5e+07,138000,1549,5.3,7,2007,2007.5
"Amarillo",315,50625000,160700,1584,5.5,8,2007,2007.58333333333
"Amarillo",242,34370000,142000,1578,5.6,9,2007,2007.66666666667
"Amarillo",243,33060000,136000,1513,5.4,10,2007,2007.75
"Amarillo",253,32910000,130100,NA,NA,11,2007,2007.83333333333
"Amarillo",216,31950000,147900,1373,5,12,2007,2007.91666666667
"Amarillo",187,26055000,139300,1421,5.2,1,2008,2008
"Amarillo",274,37900000,138300,1413,5.1,2,2008,2008.08333333333
"Amarillo",264,36825000,139500,1336,4.9,3,2008,2008.16666666667
"Amarillo",299,45755000,153000,1387,5,4,2008,2008.25
"Amarillo",291,41435000,142400,1498,5.5,5,2008,2008.33333333333
"Amarillo",296,42955000,145100,1519,5.7,6,2008,2008.41666666667
"Amarillo",324,45600000,140700,1564,5.9,7,2008,2008.5
"Amarillo",284,40730000,143400,1519,5.7,8,2008,2008.58333333333
"Amarillo",254,38575000,151900,1480,5.6,9,2008,2008.66666666667
"Amarillo",226,34800000,154000,1474,5.6,10,2008,2008.75
"Amarillo",140,19235000,137400,1471,5.8,11,2008,2008.83333333333
"Amarillo",170,22755000,133900,1437,5.7,12,2008,2008.91666666667
"Amarillo",151,22330000,147900,1430,5.8,1,2009,2009
"Amarillo",179,24005000,134100,1458,6.1,2,2009,2009.08333333333
"Amarillo",202,27975000,138500,1470,6.3,3,2009,2009.16666666667
"Amarillo",227,31570000,139100,1533,6.7,4,2009,2009.25
"Arlington",241,26220683,108800,1417,3.7,1,2000,2000
"Arlington",337,36618555,108700,1402,3.6,2,2000,2000.08333333333
"Arlington",493,56714365,115000,1347,3.4,3,2000,2000.16666666667
"Arlington",456,54108160,118700,1346,3.4,4,2000,2000.25
"Arlington",498,58688050,117800,1360,3.4,5,2000,2000.33333333333
"Arlington",491,61753364,125800,1421,3.5,6,2000,2000.41666666667
"Arlington",446,54540495,122300,1434,3.6,7,2000,2000.5
"Arlington",507,60875199,120100,1417,3.5,8,2000,2000.58333333333
"Arlington",407,52509988,129000,1418,3.5,9,2000,2000.66666666667
"Arlington",392,48300376,123200,1418,3.4,10,2000,2000.75
"Arlington",338,41776960,123600,1370,3.3,11,2000,2000.83333333333
"Arlington",363,46705325,128700,1306,3.2,12,2000,2000.91666666667
"Arlington",266,34187727,128500,1428,3.4,1,2001,2001
"Arlington",402,48908661,121700,1466,3.5,2,2001,2001.08333333333
"Arlington",481,61799819,128500,1516,3.6,3,2001,2001.16666666667
"Arlington",487,63515514,130400,1517,3.6,4,2001,2001.25
"Arlington",536,69878959,130400,1592,3.7,5,2001,2001.33333333333
"Arlington",534,67744182,126900,1627,3.8,6,2001,2001.41666666667
"Arlington",500,66350350,132700,1693,3.9,7,2001,2001.5
"Arlington",505,65080743,128900,1616,3.7,8,2001,2001.58333333333
"Arlington",442,56728723,128300,1656,3.8,9,2001,2001.66666666667
"Arlington",407,51328965,126100,1647,3.8,10,2001,2001.75
"Arlington",425,53024458,124800,1583,3.6,11,2001,2001.83333333333
"Arlington",353,47654250,135000,1464,3.3,12,2001,2001.91666666667
"Arlington",314,39966772,127300,1542,3.4,1,2002,2002
"Arlington",378,46058048,121800,1653,3.7,2,2002,2002.08333333333
"Arlington",461,58346224,126600,1643,3.7,3,2002,2002.16666666667
"Arlington",468,61356437,131100,1683,3.8,4,2002,2002.25
"Arlington",503,67240236,133700,1741,3.9,5,2002,2002.33333333333
"Arlington",495,64673182,130700,1811,4.1,6,2002,2002.41666666667
"Arlington",509,66954143,131500,1925,4.4,7,2002,2002.5
"Arlington",467,62199241,133200,1909,4.4,8,2002,2002.58333333333
"Arlington",426,54118102,127000,1955,4.5,9,2002,2002.66666666667
"Arlington",423,56866208,134400,2050,4.7,10,2002,2002.75
"Arlington",368,47740480,129700,1999,4.6,11,2002,2002.83333333333
"Arlington",391,49595229,126800,1976,4.6,12,2002,2002.91666666667
"Arlington",335,42505826,126900,2155,5,1,2003,2003
"Arlington",370,51593837,139400,2194,5,2,2003,2003.08333333333
"Arlington",459,59668872,130000,2345,5.4,3,2003,2003.16666666667
"Arlington",420,52103275,124100,2478,5.8,4,2003,2003.25
"Arlington",502,67131982,133700,2544,5.9,5,2003,2003.33333333333
"Arlington",495,68632935,138700,2731,6.3,6,2003,2003.41666666667
"Arlington",524,73194692,139700,2799,6.5,7,2003,2003.5
"Arlington",531,72397143,136300,2801,6.4,8,2003,2003.58333333333
"Arlington",451,63432091,140600,2708,6.2,9,2003,2003.66666666667
"Arlington",451,59867438,132700,2637,6,10,2003,2003.75
"Arlington",362,51186383,141400,2539,5.8,11,2003,2003.83333333333
"Arlington",405,55076568,136000,2426,5.5,12,2003,2003.91666666667
"Arlington",288,36572326,127000,2638,6,1,2004,2004
"Arlington",354,48048923,135700,2709,6.2,2,2004,2004.08333333333
"Arlington",493,66902880,135700,2823,6.4,3,2004,2004.16666666667
"Arlington",489,66665281,136300,2915,6.5,4,2004,2004.25
"Arlington",527,72401436,137400,2922,6.5,5,2004,2004.33333333333
"Arlington",515,73886166,143500,2893,6.4,6,2004,2004.41666666667
"Arlington",578,79609568,137700,2900,6.4,7,2004,2004.5
"Arlington",515,72336231,140500,2833,6.3,8,2004,2004.58333333333
"Arlington",480,66141732,137800,2777,6.1,9,2004,2004.66666666667
"Arlington",464,63006978,135800,2769,6.1,10,2004,2004.75
"Arlington",394,52819945,134100,2640,5.8,11,2004,2004.83333333333
"Arlington",446,63363369,142100,2475,5.4,12,2004,2004.91666666667
"Arlington",327,43605670,133400,2671,5.7,1,2005,2005
"Arlington",364,48747730,133900,2828,6.1,2,2005,2005.08333333333
"Arlington",492,68782581,139800,2890,6.2,3,2005,2005.16666666667
"Arlington",548,78286558,142900,2954,6.3,4,2005,2005.25
"Arlington",579,81002282,139900,2963,6.2,5,2005,2005.33333333333
"Arlington",660,97579136,147800,3102,6.4,6,2005,2005.41666666667
"Arlington",588,88850414,151100,3172,6.5,7,2005,2005.5
"Arlington",628,94065048,149800,NA,NA,8,2005,2005.58333333333
"Arlington",551,85175555,154600,2846,5.7,9,2005,2005.66666666667
"Arlington",482,69275277,143700,2844,5.6,10,2005,2005.75
"Arlington",448,65724505,146700,2769,5.4,11,2005,2005.83333333333
"Arlington",484,76456692,158000,2537,4.9,12,2005,2005.91666666667
"Arlington",348,50313284,144600,2720,5.3,1,2006,2006
"Arlington",415,58242346,140300,2843,5.5,2,2006,2006.08333333333
"Arlington",578,83537970,144500,2950,5.6,3,2006,2006.16666666667
"Arlington",583,82590779,141700,3008,5.7,4,2006,2006.25
"Arlington",656,95885042,146200,3099,5.8,5,2006,2006.33333333333
"Arlington",720,107962697,149900,3122,5.8,6,2006,2006.41666666667
"Arlington",621,93238745,150100,3207,5.9,7,2006,2006.5
"Arlington",715,106903695,149500,3178,5.8,8,2006,2006.58333333333
"Arlington",505,75665308,149800,3215,5.9,9,2006,2006.66666666667
"Arlington",483,70733566,146400,3126,5.7,10,2006,2006.75
"Arlington",472,69649910,147600,3019,5.5,11,2006,2006.83333333333
"Arlington",487,74138446,152200,2829,5.2,12,2006,2006.91666666667
"Arlington",391,58230415,148900,2967,5.4,1,2007,2007
"Arlington",420,63293055,150700,3042,5.5,2,2007,2007.08333333333
"Arlington",573,86029966,150100,3160,5.7,3,2007,2007.16666666667
"Arlington",541,77760044,143700,3209,5.8,4,2007,2007.25
"Arlington",605,88579861,146400,3161,5.8,5,2007,2007.33333333333
"Arlington",619,91363030,147600,3140,5.9,6,2007,2007.41666666667
"Arlington",567,87483513,154300,3208,6,7,2007,2007.5
"Arlington",553,81555794,147500,3049,5.9,8,2007,2007.58333333333
"Arlington",427,66067557,154700,3029,5.9,9,2007,2007.66666666667
"Arlington",407,60303327,148200,3020,6,10,2007,2007.75
"Arlington",382,58123749,152200,2794,5.6,11,2007,2007.83333333333
"Arlington",397,56669818,142700,2580,5.3,12,2007,2007.91666666667
"Arlington",299,41280330,138100,2652,5.5,1,2008,2008
"Arlington",361,52437477,145300,2606,5.5,2,2008,2008.08333333333
"Arlington",390,60168088,154300,2660,5.8,3,2008,2008.16666666667
"Arlington",458,67512370,147400,2676,5.9,4,2008,2008.25
"Arlington",530,81523930,153800,2578,5.7,5,2008,2008.33333333333
"Arlington",468,71016280,151700,2587,5.9,6,2008,2008.41666666667
"Arlington",450,68886190,153100,2546,6,7,2008,2008.5
"Arlington",463,67487881,145800,2415,5.8,8,2008,2008.58333333333
"Arlington",433,63034011,145600,2241,5.3,9,2008,2008.66666666667
"Arlington",357,50568156,141600,2203,5.3,10,2008,2008.75
"Arlington",261,36824905,141100,2139,5.3,11,2008,2008.83333333333
"Arlington",316,45489978,144000,1957,4.9,12,2008,2008.91666666667
"Arlington",213,28751088,135000,2000,5.1,1,2009,2009
"Arlington",249,35051867,140800,2060,5.4,2,2009,2009.08333333333
"Arlington",333,47105275,141500,2094,5.5,3,2009,2009.16666666667
"Arlington",354,49774271,140600,2056,5.6,4,2009,2009.25
"Austin",1025,173053635,168800,3084,2,1,2000,2000
"Austin",1277,226038438,177000,2989,2,2,2000,2000.08333333333
"Austin",1603,298557656,186200,3042,2,3,2000,2000.16666666667
"Austin",1556,289197960,185900,3192,2.1,4,2000,2000.25
"Austin",1980,393073774,198500,3617,2.3,5,2000,2000.33333333333
"Austin",1885,368290072,195400,3799,2.4,6,2000,2000.41666666667
"Austin",1818,351539312,193400,3944,2.6,7,2000,2000.5
"Austin",1880,360255090,191600,3948,2.6,8,2000,2000.58333333333
"Austin",1498,292799874,195500,4058,2.6,9,2000,2000.66666666667
"Austin",1524,300952544,197500,4100,2.6,10,2000,2000.75
"Austin",1245,244873204,196700,4114,2.7,11,2000,2000.83333333333
"Austin",1330,262408360,197300,4005,2.6,12,2000,2000.91666666667
"Austin",1086,204981438,188700,4435,2.8,1,2001,2001
"Austin",1213,234385962,193200,5325,3.4,2,2001,2001.08333333333
"Austin",1553,296870356,191200,6097,3.9,3,2001,2001.16666666667
"Austin",1579,302565123,191600,6800,4.4,4,2001,2001.25
"Austin",1838,367601554,200000,7523,4.9,5,2001,2001.33333333333
"Austin",1857,366626307,197400,8177,5.3,6,2001,2001.41666666667
"Austin",1871,364827740,195000,8406,5.5,7,2001,2001.5
"Austin",1801,359972391,199900,8374,5.5,8,2001,2001.58333333333
"Austin",1381,257925803,186800,8503,5.6,9,2001,2001.66666666667
"Austin",1351,245812749,181900,8135,5.4,10,2001,2001.75
"Austin",1388,257247398,185300,7378,4.9,11,2001,2001.83333333333
"Austin",1474,297729300,202000,6810,4.4,12,2001,2001.91666666667
"Austin",1172,242074554,206500,6851,4.4,1,2002,2002
"Austin",1407,279623092,198700,7190,4.6,2,2002,2002.08333333333
"Austin",1550,313749244,202400,7625,4.9,3,2002,2002.16666666667
"Austin",1665,322148092,193500,8226,5.3,4,2002,2002.25
"Austin",1931,383478450,198600,9109,5.8,5,2002,2002.33333333333
"Austin",1829,371258246,203000,9620,6.1,6,2002,2002.41666666667
"Austin",1729,332673864,192400,9863,6.3,7,2002,2002.5
"Austin",1742,346430746,198900,9843,6.3,8,2002,2002.58333333333
"Austin",1407,274003236,194700,9854,6.3,9,2002,2002.66666666667
"Austin",1480,291194551,196800,9747,6.2,10,2002,2002.75
"Austin",1304,244930656,187800,9189,5.9,11,2002,2002.83333333333
"Austin",1500,294382650,196300,8854,5.7,12,2002,2002.91666666667
"Austin",1094,198926472,181800,9163,5.9,1,2003,2003
"Austin",1236,237034508,191800,9541,6.2,2,2003,2003.08333333333
"Austin",1522,294928586,193800,10152,6.6,3,2003,2003.16666666667
"Austin",1547,301081936,194600,10756,7,4,2003,2003.25
"Austin",1652,329708716,199600,11071,7.4,5,2003,2003.33333333333
"Austin",1931,401039300,207700,11000,7.3,6,2003,2003.41666666667
"Austin",2048,416842800,203500,10929,7.1,7,2003,2003.5
"Austin",2169,423729417,195400,10761,6.8,8,2003,2003.58333333333
"Austin",1898,357269553,188200,10649,6.6,9,2003,2003.66666666667
"Austin",1609,317732419,197500,10475,6.4,10,2003,2003.75
"Austin",1362,267634196,196500,9939,6.1,11,2003,2003.83333333333
"Austin",1725,353090616,204700,9644,5.8,12,2003,2003.91666666667
"Austin",1096,203983516,186100,9853,6,1,2004,2004
"Austin",1300,255330644,196400,10442,6.3,2,2004,2004.08333333333
"Austin",1650,329520600,199700,10769,6.5,3,2004,2004.16666666667
"Austin",2039,397886270,195100,10895,6.4,4,2004,2004.25
"Austin",2084,418371770,200800,11104,6.4,5,2004,2004.33333333333
"Austin",2433,501302304,206000,11122,6.2,6,2004,2004.41666666667
"Austin",2377,480101629,202000,11028,6.1,7,2004,2004.5
"Austin",2333,466782418,200100,10797,5.9,8,2004,2004.58333333333
"Austin",1927,390609048,202700,10436,5.7,9,2004,2004.66666666667
"Austin",1704,341152576,200200,10141,5.5,10,2004,2004.75
"Austin",1630,308820516,189500,9277,5,11,2004,2004.83333333333
"Austin",1994,393603237,197400,8863,4.7,12,2004,2004.91666666667
"Austin",1430,281261604,196700,8909,4.7,1,2005,2005
"Austin",1639,317890683,194000,9198,4.7,2,2005,2005.08333333333
"Austin",2167,441137816,203600,9515,4.8,3,2005,2005.16666666667
"Austin",2156,436705640,202600,9780,4.9,4,2005,2005.25
"Austin",2496,539885343,216300,9204,4.5,5,2005,2005.33333333333
"Austin",2701,577224899,213700,9455,4.6,6,2005,2005.41666666667
"Austin",2715,594741961,219100,9726,4.7,7,2005,2005.5
"Austin",2883,612428226,212400,9095,4.3,8,2005,2005.58333333333
"Austin",2495,520740255,208700,8605,4,9,2005,2005.66666666667
"Austin",2126,438332894,206200,8419,3.8,10,2005,2005.75
"Austin",1975,435832989,220700,7933,3.6,11,2005,2005.83333333333
"Austin",2122,464752606,219000,7738,3.5,12,2005,2005.91666666667
"Austin",1694,380503741,224600,8098,3.6,1,2006,2006
"Austin",1886,413928068,219500,8259,3.6,2,2006,2006.08333333333
"Austin",2605,586176203,225000,8677,3.7,3,2006,2006.16666666667
"Austin",2434,554865748,228000,8965,3.8,4,2006,2006.25
"Austin",2948,677494604,229800,8996,3.8,5,2006,2006.33333333333
"Austin",3337,784835296,235200,9267,3.8,6,2006,2006.41666666667
